date,stadium,latitude,longitude,temperature_2m_mean,precipitation_sum,windspeed_10m_max
2012-09-18,Maksimir,45.8177,16.0122,19.3,0.1,6.8
2012-09-18,Parc des Princes,48.8414,2.253,15.8,0.0,16.2
2012-09-18,Stade de la Mosson,43.62,3.812,19.7,0.3,15.9
2012-09-18,Stadio Georgios Karaiskakis,37.9368,23.6689,22.8,0.0,9.7
2012-09-18,La Rosaleda,36.7175,-4.4369,25.9,0.0,6.5
2012-09-18,Giuseppe Meazza,45.4781,9.124,19.5,0.0,7.2
2012-09-18,Santiago Bernabéu,40.4531,-3.6883,23.3,0.0,13.5
2012-09-18,SIGNAL IDUNA PARK,51.4926,7.4519,14.9,0.4,21.4
2012-09-19,Stamford Bridge,51.4816,-0.191,11.2,0.0,18.2
2012-09-19,Donbass Arena,48.0228,37.7697,17.2,0.0,17.0
2012-09-19,Allianz Arena,48.2188,11.6247,12.2,9.5,15.5
2012-09-19,Decathlon Arena-Stade Pierre-Mauroy,50.6113,3.1303,11.8,0.0,19.0
2012-09-19,Celtic Park,55.8497,-4.2054,8.7,0.4,20.2
2012-09-19,Spotify Camp Nou,41.3809,2.1228,20.3,20.6,11.6
2012-09-19,Old Trafford,53.4631,-2.2913,9.9,2.3,19.5
2012-09-19,Estádio Municipal de Braga,41.5666,-8.4034,22.2,0.0,16.2
2012-10-02,Parken,55.7027,12.5783,13.6,1.0,22.5
2012-10-02,Allianz Stadium,45.1096,7.6412,16.1,0.0,5.2
2012-10-02,Dinamo,53.9045,27.5615,13.2,5.6,22.6
2012-10-02,Mestalla,39.4747,-0.3583,19.7,0.0,9.7
2012-10-02,Estádio da Luz,38.7527,-9.1846,18.3,0.0,18.9
2012-10-02,Dr. Constantin Rădulescu,46.7712,23.584,19.3,0.5,9.5
2012-10-02,Ali Sami Yen Spor Kompleksi RAMS Park,41.0765,28.9834,22.1,0.0,17.2
2012-10-03,Petrovsky,59.956,30.249,10.8,0.8,9.7
2012-10-03,Estádio do Dragão,41.1614,-8.5835,16.1,0.1,14.0
